segment_id,segment_name,budget_bucket,idea_title,why_it_fits,tags,url_sugerida
S8,Outdoor/Deporte,<20,Linterna frontal,"Seguridad y manos libres","outdoor;practico",https://www.decathlon.es/
S8,Outdoor/Deporte,20-50,Mochila daypack,"Excursiones de un día","outdoor;viaje",https://www.amazon.es/
S8,Outdoor/Deporte,50-100,Bastones trekking,"Mejora estabilidad y resistencia","outdoor",https://www.decathlon.es/
S8,Outdoor/Deporte,100-200,Saco dormir 3 estaciones,"Versatilidad para acampar","outdoor;camping",https://www.decathlon.es/
S8,Outdoor/Deporte,>200,Tienda ligera,"Más confort en ruta","outdoor;premium",https://www.decathlon.es/
S9,Experiencias/Viajes,<20,Guía de ciudad,"Planifica escapadas","viaje;lectura",https://www.amazon.es/
S9,Experiencias/Viajes,20-50,Mapa rascable,"Recuerdo visual de viajes","deco;viaje",https://www.civitatis.com/
S9,Experiencias/Viajes,50-100,Spa day pass,"Relajación asegurada","experiencia;rapido",https://www.aladinia.com/
S9,Experiencias/Viajes,100-200,Noche de hotel,"Escapada fácil de organizar","experiencia;viaje",https://www.smartbox.com/es/
S9,Experiencias/Viajes,>200,Escapada 2 noches,"Plan completo para desconectar","experiencia;premium",https://www.booking.com/
S10,DIY/Creativo,<20,Set rotuladores,"Empieza a crear sin barrera","creativo;papeleria",https://www.amazon.es/
S10,DIY/Creativo,20-50,Kit bordado/macramé,"Manualidad relajante y bonita","creativo;artesanal",https://www.etsy.com/
S10,DIY/Creativo,50-100,Impresora fotos mini,"Recuerdos al instante","creativo;digital",https://www.amazon.es/
S10,DIY/Creativo,100-200,Plotter de corte básico,"Personalización a lo grande","creativo;maker",https://www.amazon.es/
S10,DIY/Creativo,>200,Impresora 3D,"Prototipa y crea objetos útiles","creativo;premium",https://www.amazon.es/
S11,Home & Deco,<20,Velas de soja,"Ambiente acogedor","deco;hogar",https://www.ikea.com/es/
S11,Home & Deco,20-50,Lámpara de mesa,"Iluminación y estilo","deco;hogar",https://www.ikea.com/es/
S11,Home & Deco,50-100,Lámina edición limitada,"Arte accesible","deco;arte",https://www.etsy.com/
S11,Home & Deco,100-200,Vajilla artesanal,"Mesa con personalidad","deco;artesanal",https://www.made.com/
S11,Home & Deco,>200,Alfombra artesanal,"Calidez y diseño","deco;premium",https://www.westwingnow.es/
S12,Eco & Sostenible,<20,Kit cero residuos,"Reduce plásticos en el día a día","eco;practico",https://www.amazon.es/
S12,Eco & Sostenible,20-50,Cosmética sólida,"Cuida y cuida el planeta","eco;cosmetica",https://www.ecodicta.com/
S12,Eco & Sostenible,50-100,Compostador urbano,"Convierte residuos en recurso","eco;hogar",https://www.amazon.es/
S12,Eco & Sostenible,100-200,Purificador eco,"Mejora aire con bajo consumo","eco;hogar",https://www.amazon.es/
S12,Eco & Sostenible,>200,Electrodoméstico A+++ contribución,"Ahorro energético real","eco;premium",https://www.amazon.es/
S13,Mascotas,<20,Juguete interactivo,"Estimulación y diversión","mascotas;perro;gato",https://www.kiwoko.com/
S13,Mascotas,20-50,Fuente de agua,"Más hidratación y salud","mascotas;hogar",https://www.kiwoko.com/
S13,Mascotas,50-100,Localizador GPS,"Tranquilidad en paseos","mascotas;tech",https://www.amazon.es/
S13,Mascotas,100-200,Comedero automático,"Raciones controladas","mascotas;hogar",https://www.amazon.es/
S13,Mascotas,>200,Mueble rascador diseño,"Integra con la deco de casa","mascotas;deco;premium",https://www.amazon.es/
S14,Infantil (0–12),<20,Libro sensorial,"Desarrollo temprano","infantil;educativo",https://www.amazon.es/
S14,Infantil (0–12),20-50,Juego STEM,"Aprende jugando","infantil;stem",https://www.amazon.es/
S14,Infantil (0–12),50-100,LEGO mediano,"Creatividad y concentración","infantil;lego",https://www.lego.com/
S14,Infantil (0–12),100-200,Casa de juegos,"Juego simbólico","infantil;hogar",https://www.amazon.es/
S14,Infantil (0–12),>200,Cama Montessori,"Autonomía y diseño","infantil;premium",https://www.amazon.es/
S15,Adolescente (13–17),<20,Luces LED habitación,"Personaliza su espacio","adolescente;deco",https://www.amazon.es/
S15,Adolescente (13–17),20-50,Auriculares BT,"Música y estudio","adolescente;musica",https://www.amazon.es/
S15,Adolescente (13–17),50-100,Impresora fotos mini,"Creatividad social","adolescente;creativo",https://www.amazon.es/
S15,Adolescente (13–17),100-200,Cámara instantánea,"Recuerdos tangibles","adolescente;foto",https://www.amazon.es/
S15,Adolescente (13–17),>200,Tablet estudio,"Apuntes y ocio","adolescente;tech",https://www.amazon.es/
S16,Romántico (Pareja),<20,Cuponera de planes,"Regala tiempo juntos","romantico;experiencia",https://www.etsy.com/
S16,Romántico (Pareja),20-50,Marco digital mini,"Fotos y recuerdos compartidos","hogar;digital",https://www.amazon.es/
S16,Romántico (Pareja),50-100,Cena especial,"Plan listo y significativo","experiencia;gastronomia",https://www.thefork.es/
S16,Romántico (Pareja),100-200,Escapada romántica,"Conexión y sorpresa","experiencia;viaje",https://www.smartbox.com/es/
S16,Romántico (Pareja),>200,Fin de semana boutique,"Memoria inolvidable","experiencia;premium",https://www.booking.com/
S17,Premium/Alta gama,>200,Reloj automático,"Artesanía y durabilidad","premium;moda",https://www.farfetch.com/
S17,Premium/Alta gama,>200,Auriculares hi-end,"Audio referencia","premium;musica",https://www.amazon.es/
S17,Premium/Alta gama,>200,Bolso diseñador,"Estilo icónico","premium;moda;cuero",https://www.farfetch.com/
S17,Premium/Alta gama,>200,Experiencia gourmet,"Maridajes y alta cocina","premium;alcohol",https://www.smartbox.com/es/
S18,Rápido/Digital,<20-100,Gift card plataformas,"Entrega inmediata por email","digital;rapido",https://www.amazon.es/
S18,Rápido/Digital,<20-100,Curso online Domestika,"Aprende al instante","digital;creativo",https://www.domestika.org/
S18,Rápido/Digital,<20-100,Spotify/Netflix 6–12 meses,"Entretenimiento sin esperas","digital;musica",https://www.spotify.com/
